Actuals,Predicteds
1.0,1.39605725792
1.0,1.24786563801
1.0,1.28617058094
1.0,1.21285818829
1.0,1.16396768329
1.0,1.3696664578
1.0,1.39576598771
1.0,1.11818723946
1.0,1.39171251409
2.0,1.39251332795
3.0,1.38106081746
1.0,1.31441985399
1.0,1.08173200763
1.0,1.28228661132
1.0,1.23839140394
1.0,1.28922510532
1.0,1.26003611229
1.0,1.42944900737
1.0,1.21455260955
1.0,1.20086124747
1.0,1.2545810288
1.0,1.1484502209
1.0,1.21722847855
1.0,1.22861885669
1.0,1.44663476811
1.0,1.39692815102
1.0,1.24860501908
1.0,1.21881970403
1.0,1.22395997303
1.0,1.12859545578
1.0,1.27414419597
1.0,1.40046038686
4.0,1.41056169154
1.0,1.32358861116
1.0,1.21869806399
1.0,1.24667896545
2.0,1.27346660593
2.0,1.22319135705
